train 0: time=0:03:18.727063, step=1288, loss=0.680375, accuracy=0.886953
dev 0: time=0:00:02.123172, step=1288, loss=0.194701, accuracy=0.9626
train 1: time=0:03:17.306737, step=2576, loss=0.197256, accuracy=0.958508
dev 1: time=0:00:01.845230, step=2576, loss=0.165425, accuracy=0.966
train 2: time=0:03:18.005848, step=3864, loss=0.154133, accuracy=0.964796
dev 2: time=0:00:01.889835, step=3864, loss=0.160848, accuracy=0.9692
train 3: time=0:03:17.484990, step=5152, loss=0.124007, accuracy=0.970165
dev 3: time=0:00:01.862183, step=5152, loss=0.152843, accuracy=0.97145
train 4: time=0:03:17.610176, step=6440, loss=0.103556, accuracy=0.974149
dev 4: time=0:00:01.850309, step=6440, loss=0.161644, accuracy=0.97105
train 5: time=0:03:17.697400, step=7728, loss=0.0850263, accuracy=0.978183
dev 5: time=0:00:01.864716, step=7728, loss=0.156046, accuracy=0.9733
train 6: time=0:03:17.648584, step=9016, loss=0.0718862, accuracy=0.981232
dev 6: time=0:00:01.850139, step=9016, loss=0.170125, accuracy=0.97405
train 7: time=0:03:17.550531, step=10304, loss=0.0616496, accuracy=0.983562
dev 7: time=0:00:01.845561, step=10304, loss=0.180725, accuracy=0.973
train 8: time=0:03:17.449704, step=11592, loss=0.0555786, accuracy=0.985167
dev 8: time=0:00:01.836655, step=11592, loss=0.186258, accuracy=0.97235
train 9: time=0:03:17.338707, step=12880, loss=0.0486037, accuracy=0.98714
dev 9: time=0:00:01.846379, step=12880, loss=0.200702, accuracy=0.97335
train 10: time=0:03:17.394061, step=14168, loss=0.0452, accuracy=0.987807
dev 10: time=0:00:01.853574, step=14168, loss=0.175004, accuracy=0.9748
train 11: time=0:03:17.371312, step=15456, loss=0.0418746, accuracy=0.988702
dev 11: time=0:00:01.851036, step=15456, loss=0.183275, accuracy=0.9758
train 12: time=0:03:17.465820, step=16744, loss=0.0368174, accuracy=0.989807
dev 12: time=0:00:01.848106, step=16744, loss=0.201994, accuracy=0.9754
train 13: time=0:03:17.425414, step=18032, loss=0.034702, accuracy=0.990482
dev 13: time=0:00:01.844127, step=18032, loss=0.218779, accuracy=0.9757
train 14: time=0:03:17.440716, step=19320, loss=0.0305616, accuracy=0.991489
dev 14: time=0:00:01.844568, step=19320, loss=0.214777, accuracy=0.9755
train 15: time=0:03:17.501066, step=20608, loss=0.0295186, accuracy=0.991799
dev 15: time=0:00:01.845393, step=20608, loss=0.219459, accuracy=0.9753
train 16: time=0:03:17.316493, step=21896, loss=0.0274853, accuracy=0.992211
dev 16: time=0:00:01.835128, step=21896, loss=0.214452, accuracy=0.9749
train 17: time=0:03:17.482011, step=23184, loss=0.025665, accuracy=0.992912
dev 17: time=0:00:01.845517, step=23184, loss=0.219628, accuracy=0.975
train 18: time=0:03:17.493613, step=24472, loss=0.0251567, accuracy=0.99288
dev 18: time=0:00:01.846590, step=24472, loss=0.228962, accuracy=0.97595
train 19: time=0:03:17.462637, step=25760, loss=0.0224462, accuracy=0.993634
dev 19: time=0:00:01.836846, step=25760, loss=0.236595, accuracy=0.97565
