train 0: time=0:02:29.614871, step=971, loss=0.84561, accuracy=0.858531
dev 0: time=0:00:02.091512, step=971, loss=0.258697, accuracy=0.94905
train 1: time=0:02:28.827349, step=1942, loss=0.244376, accuracy=0.949469
dev 1: time=0:00:01.851109, step=1942, loss=0.214394, accuracy=0.96105
train 2: time=0:02:28.854099, step=2913, loss=0.190106, accuracy=0.95754
dev 2: time=0:00:01.851758, step=2913, loss=0.21328, accuracy=0.9611
train 3: time=0:02:28.850646, step=3884, loss=0.155021, accuracy=0.963826
dev 3: time=0:00:01.853718, step=3884, loss=0.206888, accuracy=0.96335
train 4: time=0:02:28.884975, step=4855, loss=0.129345, accuracy=0.968419
dev 4: time=0:00:01.843715, step=4855, loss=0.222657, accuracy=0.96235
train 5: time=0:02:28.927630, step=5826, loss=0.108555, accuracy=0.972836
dev 5: time=0:00:01.853467, step=5826, loss=0.210935, accuracy=0.9658
train 6: time=0:02:28.916033, step=6797, loss=0.0933886, accuracy=0.976019
dev 6: time=0:00:01.857200, step=6797, loss=0.239637, accuracy=0.96355
train 7: time=0:02:28.932654, step=7768, loss=0.0812176, accuracy=0.979149
dev 7: time=0:00:01.840130, step=7768, loss=0.242855, accuracy=0.9658
train 8: time=0:02:28.972083, step=8739, loss=0.0722379, accuracy=0.981295
dev 8: time=0:00:01.856607, step=8739, loss=0.238531, accuracy=0.9648
