train 0: time=0:03:54.281455, step=965, loss=16.5058 (7.80838 + 8.69741), precision=0.534198, recall=0.786205, F=0.636153
dev 0: time=0:00:03.663461, step=965, loss=8.20767 (5.77455 + 2.43312), precision=0.747658, recall=0.750062, F=0.748858
train 1: time=0:03:50.560208, step=1930, loss=7.07068 (5.11202 + 1.95865), precision=0.652131, recall=0.857583, F=0.740878
dev 1: time=0:00:03.373887, step=1930, loss=7.28697 (5.35699 + 1.92999), precision=0.721236, recall=0.801336, F=0.759179
train 2: time=0:03:54.109013, step=2895, loss=6.16862 (4.66448 + 1.50414), precision=0.671046, recall=0.874457, F=0.759366
dev 2: time=0:00:04.046165, step=2895, loss=6.94541 (5.11604 + 1.82937), precision=0.67094, recall=0.851983, F=0.7507
train 3: time=0:03:57.545666, step=3860, loss=5.68852 (4.39541 + 1.29311), precision=0.682765, recall=0.884438, F=0.770625
dev 3: time=0:00:03.672930, step=3860, loss=7.14046 (5.41534 + 1.72513), precision=0.728731, recall=0.806494, F=0.765643
train 4: time=0:03:57.689755, step=4825, loss=5.33032 (4.18006 + 1.15026), precision=0.693569, recall=0.891726, F=0.780263
dev 4: time=0:00:03.481349, step=4825, loss=7.06196 (5.36391 + 1.69805), precision=0.709538, recall=0.822164, F=0.76171
train 5: time=0:03:57.262593, step=5790, loss=5.0403 (3.99515 + 1.04515), precision=0.702982, recall=0.898179, F=0.788682
dev 5: time=0:00:03.459327, step=5790, loss=7.16405 (5.45143 + 1.71262), precision=0.679679, recall=0.843803, F=0.7529
train 6: time=0:03:59.003459, step=6755, loss=4.82304 (3.85622 + 0.966822), precision=0.710469, recall=0.903122, F=0.795295
dev 6: time=0:00:03.361668, step=6755, loss=7.41105 (5.65794 + 1.75311), precision=0.722305, recall=0.805324, F=0.761559
train 7: time=0:03:53.427611, step=7720, loss=4.60884 (3.71308 + 0.895763), precision=0.718534, recall=0.907852, F=0.802174
dev 7: time=0:00:03.324743, step=7720, loss=7.86965 (6.06649 + 1.80316), precision=0.73836, recall=0.793358, F=0.764871
