train 0: time=0:00:01.492184, step=74, mse_loss=26.3123, l2_loss=4.10126
dev 0: time=0:00:00.048139, step=74, mse_loss=0.604067, l2_loss=0.71394
train 1: time=0:00:01.229394, step=148, mse_loss=3.93385, l2_loss=1.31707
dev 1: time=0:00:00.040625, step=148, mse_loss=0.596979, l2_loss=0.710442
train 2: time=0:00:01.228993, step=222, mse_loss=1.24438, l2_loss=0.842664
dev 2: time=0:00:00.041133, step=222, mse_loss=0.596881, l2_loss=0.710148
train 3: time=0:00:01.231519, step=296, mse_loss=0.749059, l2_loss=0.740106
dev 3: time=0:00:00.041797, step=296, mse_loss=0.600005, l2_loss=0.710821
train 4: time=0:00:01.227420, step=370, mse_loss=0.647254, l2_loss=0.714175
dev 4: time=0:00:00.041511, step=370, mse_loss=0.608048, l2_loss=0.712739
train 5: time=0:00:01.229140, step=444, mse_loss=0.614331, l2_loss=0.705824
dev 5: time=0:00:00.045089, step=444, mse_loss=0.62413, l2_loss=0.716407
train 6: time=0:00:01.231194, step=518, mse_loss=0.598151, l2_loss=0.701606
dev 6: time=0:00:00.040967, step=518, mse_loss=0.654346, l2_loss=0.722831
train 7: time=0:00:01.232221, step=592, mse_loss=0.58686, l2_loss=0.699181
dev 7: time=0:00:00.040270, step=592, mse_loss=0.704223, l2_loss=0.732416
train 8: time=0:00:01.230428, step=666, mse_loss=0.582223, l2_loss=0.697875
dev 8: time=0:00:00.040922, step=666, mse_loss=0.771824, l2_loss=0.744199
train 9: time=0:00:01.225888, step=740, mse_loss=0.577535, l2_loss=0.696937
dev 9: time=0:00:00.040956, step=740, mse_loss=0.845226, l2_loss=0.755548
train 10: time=0:00:01.239228, step=814, mse_loss=0.575668, l2_loss=0.696377
dev 10: time=0:00:00.041679, step=814, mse_loss=0.902703, l2_loss=0.763986
train 11: time=0:00:01.230886, step=888, mse_loss=0.572108, l2_loss=0.695766
dev 11: time=0:00:00.041124, step=888, mse_loss=0.93964, l2_loss=0.769226
train 12: time=0:00:01.226170, step=962, mse_loss=0.571581, l2_loss=0.695502
dev 12: time=0:00:00.041084, step=962, mse_loss=0.961915, l2_loss=0.772067
train 13: time=0:00:01.233436, step=1036, mse_loss=0.567923, l2_loss=0.694954
dev 13: time=0:00:00.040826, step=1036, mse_loss=0.970185, l2_loss=0.773319
train 14: time=0:00:01.236235, step=1110, mse_loss=0.568403, l2_loss=0.694873
dev 14: time=0:00:00.040680, step=1110, mse_loss=0.975503, l2_loss=0.773772
train 15: time=0:00:01.233918, step=1184, mse_loss=0.565103, l2_loss=0.694353
dev 15: time=0:00:00.050101, step=1184, mse_loss=0.976216, l2_loss=0.774018
train 16: time=0:00:01.227603, step=1258, mse_loss=0.565842, l2_loss=0.694305
dev 16: time=0:00:00.043765, step=1258, mse_loss=0.974689, l2_loss=0.773776
train 17: time=0:00:01.231670, step=1332, mse_loss=0.562153, l2_loss=0.693735
dev 17: time=0:00:00.041491, step=1332, mse_loss=0.976802, l2_loss=0.773967
train 18: time=0:00:01.230391, step=1406, mse_loss=0.56344, l2_loss=0.693735
dev 18: time=0:00:00.045990, step=1406, mse_loss=0.97273, l2_loss=0.773588
train 19: time=0:00:01.229700, step=1480, mse_loss=0.558974, l2_loss=0.692951
dev 19: time=0:00:00.040562, step=1480, mse_loss=0.976768, l2_loss=0.77389
train 20: time=0:00:01.235911, step=1554, mse_loss=0.559971, l2_loss=0.692776
dev 20: time=0:00:00.041235, step=1554, mse_loss=0.972796, l2_loss=0.773533
train 21: time=0:00:01.231631, step=1628, mse_loss=0.555501, l2_loss=0.691904
dev 21: time=0:00:00.041120, step=1628, mse_loss=0.976225, l2_loss=0.773909
train 22: time=0:00:01.225790, step=1702, mse_loss=0.555977, l2_loss=0.691388
dev 22: time=0:00:00.044678, step=1702, mse_loss=0.971965, l2_loss=0.773333
train 23: time=0:00:01.238648, step=1776, mse_loss=0.549677, l2_loss=0.689481
dev 23: time=0:00:00.040939, step=1776, mse_loss=0.970976, l2_loss=0.772781
train 24: time=0:00:01.238247, step=1850, mse_loss=0.549514, l2_loss=0.688636
dev 24: time=0:00:00.040327, step=1850, mse_loss=0.968465, l2_loss=0.771978
train 25: time=0:00:01.234514, step=1924, mse_loss=0.54462, l2_loss=0.687454
dev 25: time=0:00:00.041369, step=1924, mse_loss=0.967421, l2_loss=0.771768
train 26: time=0:00:01.235159, step=1998, mse_loss=0.545151, l2_loss=0.687128
dev 26: time=0:00:00.041159, step=1998, mse_loss=0.967195, l2_loss=0.77157
train 27: time=0:00:01.228317, step=2072, mse_loss=0.541948, l2_loss=0.686302
dev 27: time=0:00:00.040956, step=2072, mse_loss=0.964421, l2_loss=0.771217
train 28: time=0:00:01.232456, step=2146, mse_loss=0.54243, l2_loss=0.685991
dev 28: time=0:00:00.042383, step=2146, mse_loss=0.963903, l2_loss=0.771125
train 29: time=0:00:01.235978, step=2220, mse_loss=0.539611, l2_loss=0.685275
dev 29: time=0:00:00.041106, step=2220, mse_loss=0.960438, l2_loss=0.770603
train 30: time=0:00:01.242631, step=2294, mse_loss=0.53987, l2_loss=0.68505
dev 30: time=0:00:00.044005, step=2294, mse_loss=0.959586, l2_loss=0.770403
train 31: time=0:00:01.227858, step=2368, mse_loss=0.537205, l2_loss=0.684325
dev 31: time=0:00:00.041549, step=2368, mse_loss=0.957078, l2_loss=0.769986
train 32: time=0:00:01.227289, step=2442, mse_loss=0.537278, l2_loss=0.684042
dev 32: time=0:00:00.040700, step=2442, mse_loss=0.954448, l2_loss=0.769562
train 33: time=0:00:01.232068, step=2516, mse_loss=0.534807, l2_loss=0.683381
dev 33: time=0:00:00.042015, step=2516, mse_loss=0.954782, l2_loss=0.769664
train 34: time=0:00:01.226650, step=2590, mse_loss=0.534924, l2_loss=0.683221
dev 34: time=0:00:00.041295, step=2590, mse_loss=0.948871, l2_loss=0.768865
train 35: time=0:00:01.229802, step=2664, mse_loss=0.533138, l2_loss=0.682724
dev 35: time=0:00:00.041125, step=2664, mse_loss=0.950767, l2_loss=0.769095
train 36: time=0:00:01.234123, step=2738, mse_loss=0.532863, l2_loss=0.682483
dev 36: time=0:00:00.040793, step=2738, mse_loss=0.94389, l2_loss=0.768057
train 37: time=0:00:01.241008, step=2812, mse_loss=0.531117, l2_loss=0.681974
dev 37: time=0:00:00.040474, step=2812, mse_loss=0.944516, l2_loss=0.768085
train 38: time=0:00:01.226978, step=2886, mse_loss=0.530418, l2_loss=0.68156
dev 38: time=0:00:00.041397, step=2886, mse_loss=0.940249, l2_loss=0.766905
train 39: time=0:00:01.233714, step=2960, mse_loss=0.528343, l2_loss=0.680773
dev 39: time=0:00:00.040260, step=2960, mse_loss=0.936187, l2_loss=0.765799
train 40: time=0:00:01.234644, step=3034, mse_loss=0.527006, l2_loss=0.680027
dev 40: time=0:00:00.041310, step=3034, mse_loss=0.933459, l2_loss=0.764767
train 41: time=0:00:01.240594, step=3108, mse_loss=0.525305, l2_loss=0.679277
dev 41: time=0:00:00.041510, step=3108, mse_loss=0.929515, l2_loss=0.763784
train 42: time=0:00:01.226973, step=3182, mse_loss=0.524152, l2_loss=0.678679
dev 42: time=0:00:00.044227, step=3182, mse_loss=0.926202, l2_loss=0.763148
train 43: time=0:00:01.233422, step=3256, mse_loss=0.522666, l2_loss=0.678063
dev 43: time=0:00:00.050743, step=3256, mse_loss=0.923312, l2_loss=0.762243
train 44: time=0:00:01.226306, step=3330, mse_loss=0.521291, l2_loss=0.677398
dev 44: time=0:00:00.043318, step=3330, mse_loss=0.92105, l2_loss=0.76174
train 45: time=0:00:01.235681, step=3404, mse_loss=0.519306, l2_loss=0.67652
dev 45: time=0:00:00.040568, step=3404, mse_loss=0.915667, l2_loss=0.76067
train 46: time=0:00:01.229415, step=3478, mse_loss=0.5176, l2_loss=0.675662
dev 46: time=0:00:00.042313, step=3478, mse_loss=0.916825, l2_loss=0.760481
train 47: time=0:00:01.239415, step=3552, mse_loss=0.516, l2_loss=0.674933
